Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions
BKNG,$BKNG $CMG $GOOG $AMZN $ISRG are my other candidates that should split,ACE,02/09/2020,0,Tweet,0,0
BKNG,"@TradeWithNinja Wow nice, what about $shop, $ttd, $zm $bkng?",Scammer Alert,02/09/2020,0,Reply,0,1
BKNG,Outside Day today: $DDOG $BLCN $BKNG $BSET $EVBG $MATW $XSOE $ITEQ $DGS $ACIU $BSMX $EUM $AVK $BCYC $ICVT $VWO $NCNO ... https://t.co/Ya1wmaeD73,SwingTradeBot,02/09/2020,0,Tweet,0,0
BKNG,"MAJOR BUY ALERT: Act now, Wall St/Trump/Fortu... - https://t.co/meq7nww2mx

$BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU",Exact Option Picks,02/09/2020,0,Tweet,0,0
BKNG,$TIF $QQQ $BKNG options have the largest change in open interest. Free options screener. https://t.co/8Eejl9qLza,max pain,02/09/2020,0,Tweet,0,0
BKNG,"EOP Option Trade of the Day - https://t.co/8sKsGnZPJy

$TWTR $BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU",Exact Option Picks,02/09/2020,0,Tweet,0,0
BKNG,"$BKNG's price moved above its 50-day Moving Average on August 5, 2020. View odds for this and other indicators: https://t.co/PzKjYz5ghx #BookingHoldings #stockmarket #stock #technicalanalysis #money #trading #investing #daytrading #news #today https://t.co/qz4koACCho",Tickeron,02/09/2020,0,Tweet,10,0
BKNG,"@BornInvestor Lovely portfolio. I own many of the same but have a balanced portfolio, so I have stocks like $low $jnj $amzn $msft $nee $abbv $nvda $amd $pfe $shop $meli $bkng $fb.  $lvgo $tdoc will be 5th largest after merger.",Blazing Saddles,02/09/2020,0,Reply,0,1
BKNG,RT @ospuy : 3??$1100????? $BKNG ?????$2000?????????????????????,???,02/09/2020,0,Retweet,0,0
BKNG,"RT @JustinPulitzer : ??Mid-Week Review VIDEO 9/2: https://t.co/pxoU7om81D

$VIX $VVIX $TLT $DXY $GLD $CL_F $XHB $IYT $FDX $UPS $SPY $IWM $KRE $QQQ $XBI $SMH $AMD $MU $NVDA $LRCX $CRM $ZM $DOCU $TDOC $PTON $NKE $MSFT $WMT $AMZN $AAPL $TSLA $NFLX $SPOT $DIS $ROKU $FB $SHOP $GOOGL $TTD $BABA $BKNG $RKT",Justin Pulitzer Trades 2,02/09/2020,0,Retweet,0,0
BKNG,"RT @JustinPulitzer : ??Mid-Week Review VIDEO 9/2: https://t.co/pxoU7om81D

$VIX $VVIX $TLT $DXY $GLD $CL_F $XHB $IYT $FDX $UPS $SPY $IWM $KRE $QQQ $XBI $SMH $AMD $MU $NVDA $LRCX $CRM $ZM $DOCU $TDOC $PTON $NKE $MSFT $WMT $AMZN $AAPL $TSLA $NFLX $SPOT $DIS $ROKU $FB $SHOP $GOOGL $TTD $BABA $BKNG $RKT",Justin Pulitzer ???????,02/09/2020,0,Retweet,0,0
BKNG,3??$1100????? $BKNG ?????$2000?????????????????????,ospuy,02/09/2020,1,Tweet,0,0
BKNG,"Ohh my travel and banks $BKNG $GS $TGT $RCL $AAL rippy rippy

@jimcramer @smartertrader https://t.co/eBtUcM54D5",playsmart,02/09/2020,0,Tweet,0,2
BKNG,"@alphatrends Can you please influence $AMZN, $SHOP, $BKNG, $MELI to split their stocks . I could use more rallies like $TSLA",MrEvilXL,02/09/2020,0,Reply,0,1
BKNG,#CONSUMERDISCRETIONARY sector value = The most overvalued symbol is $BKNG. The… https://t.co/HT1D6aVwHA,ECIG CANADA ZONE,02/09/2020,0,Tweet,1,0
BKNG,"RT @AnthonyOhayon : Just don’t even know what to say here... every single prediction in this podcast released last night is either coming true or about to very soon. Have a listen, lots of huge moves to come still! $DOCU $RKT $APPS $TSLA $SE $SQ $SPX $QQQ $MDB $BKNG $ISRG https://t.co/f7e1GcpTdW",Anthony,02/09/2020,0,Retweet,0,0
