Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Media Type
APPLE,RT @TheStalwart : Apple is opening 25 U.S. stores this week https://t.co/qR6xKYAIMn,Stocktwits,18/05/2020,0,0,0,0,
APPLE,"Apple and Google Face Off Against Europe Over Contact Tracing

https://t.co/4D60ZPjYIa",Stocktwits,18/05/2020,6,1,0,0,
APPLE,RT @TheStreet : .@JimCramer says Apple $AAPL reopening stores in the U.S. is more important psychologically than for the bottom line: https://t.co/a12kKUC0ys,Jim Cramer,18/05/2020,0,0,0,1,
GOOG,Spotify Scoops Up Joe Rogan And His Hugely Popular Podcast $SPOT $GOOG https://t.co/T6oCoipQi7,Benzinga,19/05/2020,2,0,0,0,
GOOG,"6% of the stocks in the Russell 3000 have hit 52-week highs and still none of the members of the $500 billion club (MSFT, AAPL, AMZN, GOOGL, and FB) are on the list.",Bespoke,19/05/2020,18,9,0,0,
GOOG,"Stocks rebound: ASML breaks out; Google, Splunk near buy points $ASML $GOOGL $SPLK https://t.co/onUicVFllK",Investors.com,20/05/2020,12,5,0,0,
APPLE,"Just to put things into perspective: FANGMAN (Facebook + Amazon + Google + Microsoft + Apple + Nvidia) mkt cap has just hit a fresh All-time high at $6.1tn, equal to the combined GDP of #Germany and #Italy. https://t.co/CGzojIcl3C",Holger Zschaepitz,20/05/2020,1677,802,2,0,photo
APPLE,Why Sony Sold Streaming Rights For Tom Hanks Movie To Apple Instead Of Waiting Out The Pandemic $SNE $AAPL https://t.co/MlMjfYdpBy,Benzinga,20/05/2020,1,1,0,0,
APPLE,Weekly mortgage applications point to a remarkable recovery in homebuying https://t.co/bKbDS8KY6r,Bespoke,20/05/2020,11,4,0,0,
APPLE,Apple Vs. Tesla: Morgan Stanley Breaks Down The Parallels $TSLA $AAPL https://t.co/RqhshSTTfE,Benzinga,21/05/2020,1,0,0,0,
APPLE,Apple's Face ID Will Allow Mask Wearing Users To Unlock Their Phones Quickly $AAPL https://t.co/1YxJy2rgBA,Benzinga,21/05/2020,5,0,0,0,
APPLE,"Of the 5 FAANG stocks, Amazon $AMZN, Facebook $FB, and Netflix $NFLX all recently touched all-time highs, while Apple $AAPL is just below and Alphabet $GOOG has the farthest to go.  https://t.co/e8LECQTizl https://t.co/LeXSDv4rhe",Bespoke,22/05/2020,33,14,0,0,photo
APPLE,Apple Vs. Tesla: Morgan Stanley Breaks Down The Parallels $AAPL $TSLA https://t.co/sBfMwdUqLo,Benzinga,23/05/2020,6,1,0,0,
APPLE,"RT @IBD_ECarson : Apple, Tesla lead five tech titans near buy points, but do they want to break out? Futures rise as bull market keeps running.
https://t.co/tcgk1Ef0OY $AAPL $NVDA $AMD $TSLA $MSFT $GOOGL https://t.co/0wfLfbDUBF",Investors.com,25/05/2020,0,0,0,0,photo
GOOG,US Most-Subscribed YouTube Channel 'Cocomelon' Coming To Netflix In June $NFLX $GOOG https://t.co/D9LvOolK1K,Benzinga,26/05/2020,3,2,0,0,
GOOG,"Google in buy zone, KLA tries; Netflix chilled $GOOGL $KLAC $NFLX https://t.co/KUjyzBk2He",Investors.com,26/05/2020,14,4,0,0,
GOOG,"Google searches for ""hospital"" and ""doctor"" continue to make new multi-year lows.  People are scared to go, which is to the detriment of the nation's health. https://t.co/7j6vb40HdM",Bespoke,26/05/2020,14,4,0,0,photo
GOOG,"Google searches for ""cough"" in the US normally bottom in July each year.  Currently below the lows seen in each of the last three years. https://t.co/bbPkCzGfez",Bespoke,26/05/2020,10,1,0,0,photo
GOOG,"Google search trends for ""used boat"" are through the roof, but searches for ""used car"" are now also above their 5-year average.  #reopening https://t.co/5dJuSN7i6t",Bespoke,26/05/2020,23,3,1,0,photo
GOOG,"Google search trends for ""pool"" are still through the roof, but searches for ""beach"" are actually now back on track at levels normally seen in late May each year.  #reopening https://t.co/IcAy1K8M9x",Bespoke,26/05/2020,11,1,1,0,photo
